year,number_of_households,cid,income_quartile
2035,51046,1,3
2035,44449,1,4
2035,117381,2,1
2035,139382,2,2
2035,149998,2,3
2035,112402,2,4
2035,29126,3,1
2035,34439,3,2
2035,34696,3,3
2035,21197,3,4
2035,62854,4,1
2035,79671,4,2
2035,91587,4,3
2035,66782,4,4
2036,21903,1,1
2036,37466,1,2
2036,51777,1,3
2036,45085,1,4
2036,118798,2,1
2036,141064,2,2
2036,151808,2,3
2036,113758,2,4
2036,29491,3,1
2036,34870,3,2
2036,35130,3,3
2036,21462,3,4
2036,64480,4,1
2036,81732,4,2
2036,93956,4,3
2036,68510,4,4
2037,22210,1,1
2037,37990,1,2
2037,52502,1,3
2037,45717,1,4
2037,120192,2,1
2037,142719,2,2
2037,153589,2,3
2037,115093,2,4
2037,29852,3,1
2037,35297,3,2
2037,35560,3,3
2037,21725,3,4
2037,66116,4,1
2037,83806,4,2
2037,96340,4,3
2037,70248,4,4
2038,22516,1,1
2038,38514,1,2
2038,53226,1,3
2038,46347,1,4
2038,121584,2,1
2038,144373,2,2
2038,155369,2,3
2038,116427,2,4
2038,30212,3,1
2038,35723,3,2
2038,35990,3,3
2038,21987,3,4
2038,67735,4,1
2038,85858,4,2
2038,98699,4,3
2038,71969,4,4
2039,22816,1,1
2039,39027,1,2
2039,53935,1,3
2039,46965,1,4
2039,122954,2,1
2039,145999,2,2
2039,157119,2,3
2039,117738,2,4
2039,30568,3,1
2039,36143,3,2
2039,36413,3,3
2039,22246,3,4
2039,69380,4,1
2039,87944,4,2
2039,101097,4,3
2039,73717,4,4
2040,23111,1,1
2040,39531,1,2
2040,54631,1,3
2040,47571,1,4
2040,124286,2,1
2040,147581,2,2
2040,158822,2,3
2040,119014,2,4
2040,30916,3,1
2040,36555,3,2
2040,36827,3,3
2040,22499,3,4
2040,71021,4,1
2040,90024,4,2
2040,103488,4,3
2040,75460,4,4
2041,23399,1,1
2041,40024,1,2
2041,55313,1,3
2041,48164,1,4
2041,125606,2,1
2041,149148,2,2
2041,160508,2,3
2041,120277,2,4
2041,31256,3,1
2041,36957,3,2
2041,37233,3,3
2041,22747,3,4
2041,72664,4,1
2041,92105,4,2
2041,105881,4,3
2041,77205,4,4
2042,23669,1,1
2042,40486,1,2
2042,55951,1,3
2042,48720,1,4
2042,126870,2,1
2042,150649,2,2
2042,162123,2,3
2042,121487,2,4
2042,31582,3,1
2042,37343,3,2
2042,37621,3,3
2042,22984,3,4
2042,74302,4,1
2042,94182,4,2
2042,108268,4,3
2042,78946,4,4
2043,23924,1,1
2043,40922,1,2
2043,56554,1,3
2043,49245,1,4
2043,128073,2,1
