N,URBANSIMX,URBANSIMY
1,1452463.07598000000,7634942.15601000000
2,1461071.66854000000,7613465.66815000000
3,1477762.42252000000,7651837.10937000000
4,1484221.91741000000,7653257.44125000000
5,1486668.74111000000,7652154.82459000000
6,1482723.82094000000,7647452.00344000000
7,1487506.80082000000,7646769.51672000000
8,1482092.02997000000,7642662.47183000000
9,1487887.87620000000,7642583.19744000000
10,1491601.63744000000,7653213.22794000000
11,1492780.25164000000,7648086.05494000000
12,1493231.13307000000,7642731.03715000000
13,1466538.96987000000,7644702.99258000000
14,1472157.24985000000,7644770.36227000000
15,1466786.10198000000,7632951.24895000000
16,1471516.77489000000,7637698.27181000000
17,1471491.03840000000,7630212.67828000000
18,1477175.67146000000,7645041.27729000000
19,1476110.10562000000,7638528.88955000000
20,1482112.19318000000,7639603.62750000000
21,1487573.73274000000,7638898.34079000000
22,1493006.39660000000,7637063.15128000000
23,1483370.23749000000,7637641.26964000000
24,1487581.30786000000,7635691.70944000000
25,1491431.44140000000,7633628.73217000000
26,1476960.21209000000,7630276.37150000000
27,1482679.52228000000,7631043.24869000000
28,1476128.80938000000,7624674.28713000000
29,1484067.15209000000,7625136.48367000000
30,1482102.47499000000,7635686.92767000000
31,1487464.85559000000,7631880.86330000000
32,1491775.62057000000,7630307.94196000000
33,1493322.29454000000,7625300.26063000000
34,1501815.45671000000,7659772.31525000000
35,1501903.70401000000,7657799.96281000000
36,1499864.34159000000,7654480.44962000000
37,1496810.70305000000,7649838.59942000000
38,1500525.24819000000,7649116.03739000000
39,1503594.93287000000,7647912.44957000000
40,1507588.23339000000,7659482.30971000000
41,1507124.47376000000,7657714.01439000000
42,1511827.82704000000,7656432.15921000000
43,1506660.44790000000,7653154.84369000000
44,1511049.75747000000,7652271.11777000000
45,1506492.79438000000,7646707.28534000000
46,1509976.75980000000,7646862.60291000000
47,1515186.79954000000,7652134.51875000000
48,1518760.89726000000,7652529.39315000000
49,1513483.61867000000,7648108.24027000000
50,1516111.64203000000,7647742.78320000000
51,1514316.03979000000,7645863.96197000000
52,1519051.05882000000,7646987.72597000000
53,1497510.17329000000,7641382.39845000000
54,1500909.04461000000,7641746.74594000000
55,1502748.46065000000,7642231.36591000000
56,1507035.26272000000,7642552.04063000000
57,1505151.84216000000,7637494.86274000000
58,1508152.32651000000,7639099.72830000000
59,1509641.49654000000,7635655.54186000000
60,1507286.91364000000,7632934.89015000000
61,1512971.31178000000,7643064.89728000000
62,1515362.36507000000,7642817.91856000000
63,1518186.86225000000,7643018.14980000000
64,1512800.91543000000,7639979.61098000000
65,1515575.31469000000,7639801.94835000000
66,1517587.12169000000,7640160.23919000000
67,1512908.89863000000,7636638.65360000000
68,1515759.35604000000,7636816.08364000000
69,1512592.30647000000,7632356.94984000000
70,1514901.35237000000,7632493.66489000000
71,1499338.85690000000,7635875.81153000000
72,1497423.24772000000,7633816.23794000000
73,1498677.87500000000,7628113.96811000000
74,1502817.34121000000,7635093.18563000000
75,1502428.30235000000,7629074.75697000000
76,1502590.71490000000,7624963.89038000000
77,1507472.25387000000,7628119.38563000000
78,1507320.92243000000,7623995.14492000000
79,1509784.90010000000,7628060.25612000000
80,1512907.81011000000,7629204.87547000000
81,1513214.35135000000,7626700.30881000000
82,1516257.70924000000,7630634.14507000000
83,1517316.81487000000,7632155.61443000000
84,1516251.33393000000,7626502.06666000000
85,1518143.86832000000,7628014.86390000000
86,1512419.17783000000,7624366.49488000000
87,1514063.97062000000,7623289.56533000000
88,1516310.96327000000,7624411.75141000000
89,1518044.54407000000,7624073.01675000000
90,1519523.92674000000,7625977.72603000000
91,1520439.71698000000,7622300.84286000000
92,1471903.11705000000,7619565.65088000000
93,1475735.84394000000,7619757.60561000000
94,1478500.74136000000,7619379.34607000000
95,1482523.22794000000,7620871.52148000000
96,1482560.54980000000,7617661.81948000000
97,1487127.34469000000,7621036.33373000000
98,1487957.29795000000,7617667.75117000000
99,1471819.80596000000,7614293.28477000000
100,1477069.88777000000,7615114.12045000000
101,1482515.45226000000,7615081.23963000000
102,1487862.65589000000,7614738.22451000000
103,1492236.49750000000,7621042.15119000000
104,1497574.12207000000,7618465.43148000000
105,1493039.89532000000,7617443.41536000000
106,1493142.82191000000,7614822.30285000000
107,1498003.99634000000,7615075.22193000000
108,1493194.43923000000,7612307.61136000000
109,1492444.89807000000,7608548.12243000000
110,1475916.78470000000,7611044.30835000000
111,1478568.55240000000,7610986.89114000000
112,1482500.05813000000,7612178.98770000000
113,1482579.88605000000,7609858.65247000000
114,1488042.60446000000,7612277.08662000000
115,1487846.91929000000,7609761.86435000000
116,1475789.69115000000,7605552.28408000000
117,1478640.74412000000,7605703.07050000000
118,1483306.56110000000,7605186.10745000000
119,1487674.64459000000,7607190.36139000000
120,1497342.16178000000,7611190.86913000000
121,1498952.88543000000,7609122.18390000000
122,1501676.47329000000,7611983.31976000000
123,1503247.66803000000,7609121.49048000000
124,1499952.72468000000,7605095.46722000000
125,1471822.71365000000,7606955.04353000000
126,1460934.90967000000,7599397.35498000000
127,1466165.62109000000,7599451.11469000000
128,1471711.48914000000,7599846.42136000000
129,1460498.00978000000,7592849.88266000000
130,1466028.75272000000,7593380.31035000000
131,1471622.31271000000,7592352.72425000000
132,1475762.67436000000,7600218.94226000000
133,1478482.94801000000,7600314.02560000000
134,1477814.43505000000,7594557.20326000000
135,1477369.82528000000,7591190.24527000000
136,1482391.98192000000,7600462.16829000000
137,1486871.81208000000,7603373.80151000000
138,1493441.36218000000,7605494.62764000000
139,1489386.73357000000,7600024.28089000000
140,1494706.71351000000,7604081.51642000000
141,1493728.44942000000,7601580.58912000000
142,1491581.73613000000,7598905.21866000000
143,1494073.52845000000,7598873.01477000000
144,1496495.14676000000,7599138.41192000000
145,1481572.02508000000,7595885.31821000000
146,1483902.63065000000,7594920.11412000000
147,1486320.82866000000,7595429.13857000000
148,1481010.89533000000,7591164.12200000000
149,1483651.05505000000,7590962.09181000000
150,1489003.69766000000,7596299.45627000000
151,1489224.32622000000,7593856.66078000000
152,1491793.86536000000,7596459.63698000000
153,1495072.56927000000,7596471.17479000000
154,1492796.95340000000,7593789.25566000000
155,1495333.00466000000,7593833.55529000000
156,1486276.97960000000,7591034.22140000000
157,1489138.12641000000,7591000.52879000000
158,1491050.74684000000,7590950.97869000000
159,1492567.14712000000,7591226.18566000000
160,1494446.52643000000,7591317.41617000000
161,1503366.02152000000,7619884.00801000000
162,1500560.50771000000,7618296.52280000000
163,1500600.04888000000,7615878.41114000000
164,1507086.99088000000,7621157.45232000000
165,1509979.38773000000,7623115.20750000000
166,1509871.89477000000,7620665.12076000000
167,1511902.60822000000,7621287.20736000000
168,1513213.09071000000,7621042.70290000000
169,1514978.85745000000,7621262.70846000000
170,1516797.97076000000,7620682.64510000000
171,1502024.99570000000,7615182.84736000000
172,1505122.38301000000,7616087.60192000000
173,1503793.64187000000,7612672.41773000000
174,1506803.40771000000,7616201.78189000000
175,1506633.75563000000,7611701.61763000000
176,1507950.61751000000,7617703.21354000000
177,1509854.08681000000,7618626.35885000000
178,1508219.19720000000,7616223.14156000000
179,1509082.85668000000,7616963.99085000000
180,1509803.52420000000,7616957.29708000000
181,1510594.00395000000,7616958.30058000000
182,1511417.74026000000,7616869.02678000000
183,1509094.50210000000,7615339.51553000000
184,1509780.24098000000,7615341.28227000000
185,1510568.12289000000,7615312.92338000000
186,1511378.93185000000,7615310.63133000000
187,1509055.85905000000,7613962.09360000000
188,1509736.70505000000,7613836.79362000000
189,1510517.74477000000,7613785.61283000000
190,1511302.50137000000,7613799.94162000000
191,1508985.19356000000,7612292.06974000000
192,1509761.15873000000,7612283.50084000000
193,1510513.02344000000,7612274.00175000000
194,1511283.81757000000,7612255.29058000000
195,1512590.86739000000,7618482.74551000000
196,1512808.59182000000,7616771.43610000000
197,1512814.28534000000,7615267.79106000000
198,1512797.71934000000,7613746.45585000000
199,1515789.73385000000,7618259.86911000000
200,1515649.74383000000,7616723.94979000000
201,1515604.34039000000,7615204.05002000000
202,1515559.51673000000,7613689.99944000000
203,1519597.91426000000,7619084.99832000000
204,1519658.88011000000,7617600.28339000000
205,1521137.07091000000,7616817.70589000000
206,1518625.75099000000,7615134.96082000000
207,1521277.98650000000,7615081.75003000000
208,1507967.29115000000,7611197.92978000000
209,1509261.72837000000,7610679.36942000000
210,1510487.08204000000,7610742.40877000000
211,1511205.04828000000,7610740.71913000000
212,1512754.68398000000,7612208.12802000000
213,1515526.97104000000,7612163.71386000000
214,1512756.70814000000,7610682.41030000000
215,1515484.12498000000,7610626.99745000000
216,1515820.92364000000,7609229.92276000000
217,1518601.80373000000,7613593.65464000000
218,1521166.06774000000,7613567.17289000000
219,1518466.97193000000,7611546.40575000000
220,1521177.43982000000,7611636.26340000000
221,1506523.77952000000,7607673.04562000000
222,1506473.59487000000,7604131.68458000000
223,1509154.13103000000,7608505.18887000000
224,1510836.79451000000,7608426.87381000000
225,1507773.46930000000,7606531.48350000000
226,1509324.52881000000,7606486.17490000000
227,1510444.63721000000,7606756.74678000000
228,1512814.91712000000,7609126.56266000000
229,1512533.18100000000,7606804.33378000000
230,1514120.77988000000,7607608.99953000000
231,1515744.00370000000,7607086.35262000000
232,1517994.45833000000,7609078.90929000000
233,1520831.87442000000,7608774.44770000000
234,1518162.34206000000,7606821.68645000000
235,1509814.80781000000,7604042.40661000000
236,1511769.76406000000,7604720.15912000000
237,1511817.80538000000,7603565.92061000000
238,1513606.06397000000,7603931.95923000000
239,1514978.39377000000,7604101.88024000000
240,1516081.36558000000,7603538.00274000000
241,1517765.84674000000,7603185.22503000000
242,1518006.55308000000,7599742.90651000000
243,1520817.08692000000,7602276.27823000000
244,1502367.71114000000,7602007.13871000000
