year,number_of_population,cid
2010,304323,11
2010,1013395,35
2010,222446,57
2010,503812,49
2011,309937,11
2011,1027956,35
2011,224338,57
2011,517441,49
2012,315098,11
2012,1041639,35
2012,226799,57
2012,529357,49
2013,320991,11
2013,1051946,35
2013,228255,57
2013,538647,49
2014,326385,11
2014,1061856,35
2014,229841,57
2014,551167,49
2015,332607,11
2015,1075422,35
2015,232865,57
2015,569283,49
2016,339116,11
2016,1089411,35
2016,235679,57
2016,586583,49
2017,344692,11
2017,1107373,35
2017,240633,57
2017,606499,49
2018,350474,11
2018,1125815,35
2018,245866,57
2018,625492,49
2019,355949,11
2019,1143738,35
2019,250933,57
2019,643356,49
2020,361017,11
2020,1160882,35
2020,255622,57
2020,660911,49
2021,365892,11
2021,1177487,35
2021,260114,57
2021,678666,49
2022,370332,11
2022,1192250,35
2022,264249,57
2022,696239,49
2023,374390,11
2023,1205333,35
2023,268103,57
2023,713695,49
2024,378167,11
2024,1217152,35
2024,271656,57
2024,731136,49
2025,381716,11
2025,1228016,35
2025,274909,57
2025,748615,49
2026,385495,11
2026,1239613,35
2026,278217,57
2026,766262,49
2027,389369,11
2027,1250829,35
2027,281377,57
2027,784196,49
2028,393383,11
2028,1261802,35
2028,284436,57
2028,802629,49
2029,397513,11
2029,1272560,35
2029,287414,57
2029,821538,49
2030,401759,11
2030,1283264,35
2030,290361,57
2030,841062,49
2031,406083,11
2031,1293985,35
2031,293262,57
2031,861235,49
2032,410509,11
2032,1304798,35
2032,296123,57
2032,882046,49
2033,415025,11
2033,1315539,35
2033,298915,57
2033,903201,49
2034,419577,11
2034,1326159,35
2034,301624,57
2034,924582,49
2035,424157,11
2035,1336648,35
2035,304268,57
2035,946161,49
2036,428755,11
2036,1347057,35
2036,306852,57
2036,967894,49
2037,433360,11
2037,1357453,35
2037,309400,57
2037,989735,49
2038,437968,11
2038,1367858,35
2038,311924,57
2038,1011662,49
2039,442568,11
2039,1378345,35
2039,314437,57
2039,1033665,49
2040,447136,11
2040,1388939,35
2040,316952,57
2040,1055751,49
2041,451668,11
2041,1399612,35
2041,319471,57
2041,1077843,49
2042,456128,11
2042,1410325,35
2042,321992,57
2042,1099964,49
2043,460463,11
2043,1420847,35
2043,324508,57
2043,1122342,49
2044,464686,11
2044,1431765,35
2044,327003,57
2044,1144214,49
2045,468802,11
2045,1442987,35
2045,329484,57
2045,1165628,49
2046,472794,11
2046,1454460,35
2046,331944,57
2046,1186657,49
2047,476664,11
2047,1466134,35
2047,334378,57
2047,1207388,49
2048,480409,11
2048,1477957,35
2048,336794,57
2048,1227906,49
2049,484035,11
2049,1489883,35
2049,339174,57
2049,1248260,49
2050,487564,11
2050,1501860,35
2050,341526,57
2050,1268545,49
2051,491126,11
2051,1514880,35
2051,343833,57
2051,1287629,49
2052,494605,11
2052,1527615,35
2052,346105,57
2052,1306915,49
2053,497996,11
2053,1540008,35
2053,348326,57
2053,1326416,49
2054,501315,11
2054,1552012,35
2054,350487,57
2054,1346137,49
2055,504604,11
2055,1563605,35
2055,352611,57
2055,1366158,49
2056,507886,11
2056,1574802,35
2056,354698,57
2056,1386555,49
2057,511175,11
2057,1585584,35
2057,356749,57
2057,1407329,49
2058,514486,11
2058,1595985,35
2058,358767,57
2058,1428492,49
2059,517826,11
2059,1606035,35
2059,360772,57
2059,1450047,49
2060,521212,11
2060,1615746,35
2060,362756,57
2060,1471974,49
