parcel_id,redev_friction
15613,100
77886,100
73530,100
75828,100
11602,100
11634,100
75462,100
12124,100
75463,100
15512,100
12074,100
12079,100
75497,100
75535,100
75746,100
18752,100
12089,100
12182,100
12730,100
15488,100
15529,100
77461,100
16722,100
16737,100
16268,100
16278,100
12758,100
12937,100
12969,100
13037,100
13122,100
13206,100
13281,100
16402,100
15773,100
15643,100
15174,100
16003,100
15599,100
17377,100
16499,100
16589,100
16593,100
16423,100
16767,100
16843,100
16963,100
16971,100
17005,100
17047,100
17076,100
17240,100
17347,100
18066,100
19979,100
20867,100
20869,100
19974,100
19799,100
19863,100
19876,100
19618,100
15051,100
82950,100
82978,100
82924,100
76784,100
74381,100
74230,100
74240,100
74362,100
75687,100
15078,100
17800,100
19089,100
75339,100
20880,100
75349,100
75550,100
75310,100
82684,100
75633,100
75820,100
75838,100
82469,100
82498,100
77907,100
78130,100
78021,100
72843,100
77978,100
74005,100
78272,100
11703,100
78310,100
78258,100
78268,100
78219,100
78984,100
78592,100
78894,100
79122,100
79182,100
75747,100
80361,100
19929,100
15059,100
13218,100
16680,100
12921,100
13020,100
13066,100
13156,100
16790,100
12130,100
12141,100
11985,100
15182,100
19221,100
19008,100
19175,100
19628,100
19235,100
19345,100
74860,100
74925,100
20700,100
20416,100
73051,100
15301,100
12129,100
17575,100
18051,100
15610,100
20558,100
2979,100
82345,100
18271,100
17511,100
17541,100
14875,100
12167,100
18054,100
20301,100
77366,100
78202,100
21273,100
19254,100
76654,100
77119,100
77120,100
77168,100
77203,100
77214,100
77125,100
19130,100
19140,100
19027,100
19035,100
18988,100
18990,100
19303,100
19226,100
74818,100
74878,100
74916,100
74519,100
74523,100
74581,100
74632,100
74703,100
76663,100
76714,100
76299,100
76768,100
76781,100
76720,100
76721,100
76742,100
76207,100
75221,100
82348,100
82360,100
82430,100
82299,100
82695,100
82452,100
80526,100
82180,100
80540,100
14045,100
79197,100
13011,100
13071,100
13099,100
13120,100
13132,100
18019,100
20050,100
20046,100
78686,100
79094,100
79119,100
79141,100
78808,100
21405,100
84786,100
11622,100
14116,100
19818,100
15452,100
14962,100
14619,100
18964,100
18575,100
18432,100
18539,100
18602,100
18640,100
18659,100
18776,100
18389,100
17174,100
17320,100
17189,100
17287,100
18956,100
14645,100
14525,100
15006,100
14777,100
17395,100
15690,100
15921,100
15266,100
18402,100
15947,100
17726,100
17828,100
18876,100
17917,100
18180,100
18173,100
18197,100
18230,100
17568,100
16408,100
20723,100
20270,100
19907,100
19839,100
19843,100
19947,100
20203,100
20097,100
20105,100
20162,100
19655,100
19673,100
19497,100
19641,100
76024,100
76060,100
75097,100
76333,100
75139,100
75155,100
76363,100
76470,100
76503,100
76516,100
76587,100
76849,100
73667,100
73672,100
73362,100
73456,100
73499,100
73514,100
73719,100
73642,100
73729,100
73767,100
73773,100
73800,100
74254,100
78875,100
78822,100
80475,100
80699,100
77345,100
77628,100
77769,100
77772,100
77681,100
78972,100
80628,100
79464,100
78726,100
78585,100
85366,100
85392,100
84899,100
84861,100
85336,100
84829,100
15471,100
15450,100
14609,100
77494,100
14584,100
14233,100
14681,100
14682,100
14670,100
20469,100
20644,100
20656,100
20890,100
21363,100
20949,100
20943,100
21041,100
77501,100
77510,100
78449,100
78510,100
77491,100
77426,100
78627,100
79561,100
77091,100
14508,100
14474,100
17952,100
76889,100
84802,100
14679,100
21312,100
20902,100
21329,100
14726,100
11573,100
11987,100
11934,100
11976,100
18744,100
18493,100
18431,100
18639,100
18337,100
18412,100
18397,100
18396,100
18679,100
17095,100
17155,100
18826,100
19133,100
19067,100
74960,100
74961,100
74584,100
74591,100
74712,100
76629,100
76631,100
76660,100
76314,100
76128,100
76216,100
76218,100
76238,100
74303,100
82715,100
82690,100
80936,100
82177,100
14436,100
15363,100
15129,100
15112,100
15017,100
14848,100
15255,100
14485,100
11794,100
11727,100
11747,100
11756,100
11701,100
11767,100
3219,100
3234,100
11612,100
12283,100
12222,100
12065,100
12227,100
16708,100
16741,100
16322,100
16210,100
16233,100
12902,100
12780,100
12954,100
15775,100
15177,100
15991,100
15236,100
15756,100
16041,100
15744,100
15716,100
15940,100
15655,100
18480,100
16128,100
15971,100
15305,100
15955,100
17895,100
17761,100
17504,100
18092,100
18286,100
17522,100
17538,100
17398,100
17581,100
16364,100
16784,100
16787,100
16868,100
16884,100
16968,100
16993,100
16998,100
17026,100
17245,100
20914,100
19691,100
20184,100
20167,100
20161,100
19924,100
19752,100
19372,100
19890,100
19761,100
19847,100
19401,100
19600,100
21457,100
75123,100
76057,100
75099,100
75090,100
76334,100
76356,100
72651,100
76435,100
73286,100
76940,100
76566,100
82977,100
82874,100
77023,100
82934,100
76782,100
76844,100
76968,100
83173,100
83158,100
73666,100
73432,100
73435,100
73490,100
74029,100
73686,100
73715,100
74210,100
74215,100
77846,100
74218,100
73524,100
73544,100
73546,100
73566,100
73732,100
73747,100
73783,100
73784,100
73812,100
73832,100
73959,100
74066,100
74259,100
74400,100
74424,100
75694,100
75706,100
75721,100
75487,100
75545,100
75791,100
75797,100
75923,100
75665,100
82192,100
82213,100
82281,100
82294,100
82142,100
75830,100
82468,100
82494,100
77843,100
77958,100
78129,100
78144,100
77971,100
78324,100
78246,100
78249,100
75262,100
79267,100
78985,100
79940,100
79955,100
78874,100
78819,100
80702,100
77374,100
77614,100
77551,100
77720,100
78558,100
78563,100
77810,100
79754,100
80589,100
78741,100
78649,100
78617,100
80072,100
80151,100
80173,100
80208,100
78970,100
78979,100
79446,100
79724,100
80631,100
79404,100
85371,100
84382,100
84906,100
84804,100
20577,100
15374,100
15503,100
15628,100
20892,100
20837,100
20917,100
21011,100
21146,100
77307,100
78357,100
77543,100
78366,100
77487,100
79548,100
77054,100
77272,100
77212,100
78395,100
14846,100
14908,100
82714,100
17293,100
17309,100
19088,100
18528,100
18762,100
18685,100
18702,100
18842,100
17288,100
19264,100
19626,100
74898,100
74938,100
74953,100
74975,100
74580,100
74600,100
76715,100
76106,100
76117,100
74200,100
75226,100
75377,100
82311,100
80941,100
82161,100
14544,100
14566,100
14179,100
14170,100
14787,100
15239,100
14052,100
14038,100
14930,100
17840,100
11731,100
11755,100
3326,100
11726,100
11510,100
3244,100
11665,100
12219,100
12280,100
657,100
12047,100
12161,100
16326,100
12779,100
12881,100
13193,100
12830,100
12665,100
15317,100
15329,100
15359,100
16090,100
16098,100
18550,100
17379,100
15868,100
15561,100
17389,100
15827,100
73919,100
15906,100
15942,100
17645,100
17674,100
17691,100
17824,100
17594,100
17588,100
17832,100
17810,100
17813,100
18215,100
18110,100
16363,100
16542,100
16747,100
16775,100
17053,100
17211,100
17215,100
17976,100
18042,100
18060,100
20310,100
20029,100
20401,100
20017,100
20342,100
19332,100
19961,100
19963,100
19938,100
19729,100
19637,100
19776,100
21098,100
75126,100
75036,100
76407,100
76898,100
76922,100
76467,100
76474,100
76504,100
76560,100
83132,100
83149,100
82845,100
76952,100
76991,100
82857,100
83083,100
73466,100
73475,100
73622,100
73646,100
74332,100
73576,100
73596,100
73568,100
73838,100
73939,100
74056,100
74123,100
74128,100
74171,100
74252,100
74443,100
74231,100
75696,100
75723,100
75428,100
75461,100
75533,100
75793,100
75806,100
76006,100
75294,100
82191,100
82220,100
75854,100
82283,100
82255,100
75627,100
82493,100
77847,100
77904,100
78086,100
78008,100
78296,100
78337,100
78863,100
75266,100
79299,100
80438,100
78870,100
78955,100
80862,100
80021,100
80657,100
80677,100
80679,100
77335,100
77763,100
77560,100
77594,100
77748,100
77827,100
79710,100
80038,100
80176,100
80223,100
80254,100
80373,100
78976,100
78978,100
79465,100
79485,100
78593,100
78915,100
79075,100
79188,100
79574,100
79576,100
78579,100
85309,100
84414,100
84821,100
84864,100
84888,100
15088,100
15432,100
14098,100
15576,100
14761,100
20684,100
20650,100
20505,100
21045,100
21052,100
73299,100
21077,100
21202,100
21192,100
21230,100
73219,100
73249,100
21193,100
78347,100
78355,100
78442,100
78486,100
78506,100
77524,100
79552,100
77254,100
77087,100
77132,100
77176,100
77180,100
17865,100
14367,100
12952,100
16573,100
16574,100
85327,100
14532,100
20625,100
21301,100
73217,100
21340,100
20790,100
14395,100
14462,100
14177,100
14464,100
14299,100
15382,100
14529,100
14998,100
14984,100
14792,100
15285,100
15019,100
15016,100
15098,100
3140,100
14996,100
18212,100
13284,100
15201,100
3259,100
3268,100
11812,100
11765,100
3232,100
11635,100
11652,100
