parcel_id,Agriculture
582264,1
669458,1
736180,1
592239,1
737189,1
584555,1
584867,1
603672,1
610287,1
601343,1
622392,1
602135,1
603241,1
608495,1
608261,1
611378,1
604752,1
608522,1
603502,1
597793,1
605961,1
737660,1
585742,1
585778,1
601529,1
608176,1
599968,1
588524,1
640399,1
586285,1
611589,1
611427,1
609662,1
607820,1
646705,1
644914,1
608722,1
582374,1
610017,1
584002,1
583050,1
585403,1
587770,1
588070,1
591349,1
598039,1
597889,1
610364,1
592245,1
590376,1
594715,1
597791,1
580765,1
581086,1
606913,1
603609,1
603004,1
607271,1
607266,1
611065,1
610307,1
653905,1
735605,1
602366,1
602044,1
602615,1
641087,1
663453,1
719934,1
613075,1
603516,1
586071,1
607468,1
602141,1
601836,1
601848,1
601763,1
601746,1
608251,1
584316,1
584317,1
582240,1
605548,1
607026,1
612257,1
603161,1
623165,1
733070,1
607524,1
608786,1
598138,1
608586,1
673682,1
636169,1
644918,1
636076,1
608719,1
582301,1
590075,1
597689,1
597943,1
610365,1
594643,1
597522,1
737573,1
737543,1
585760,1
623533,1
584810,1
606899,1
687794,1
609688,1
603594,1
656727,1
610258,1
610295,1
610408,1
651410,1
610827,1
602322,1
731545,1
601567,1
602299,1
602166,1
602183,1
600123,1
600112,1
602050,1
602086,1
602595,1
672690,1
601473,1
602640,1
689713,1
700682,1
740617,1
594466,1
736445,1
584294,1
738706,1
605674,1
606291,1
718267,1
602465,1
608835,1
608785,1
608830,1
608831,1
608665,1
738730,1
730365,1
607301,1
610190,1
610969,1
602372,1
601636,1
598512,1
583285,1
590085,1
667648,1
594875,1
597892,1
610363,1
584666,1
585825,1
606894,1
606860,1
678499,1
603730,1
609230,1
610324,1
611041,1
610300,1
703140,1
601009,1
602397,1
718374,1
601607,1
601357,1
601986,1
601743,1
751511,1
601695,1
608250,1
608420,1
609045,1
612791,1
608900,1
597817,1
700039,1
609759,1
602250,1
601505,1
609964,1
589228,1
591681,1
592745,1
737944,1
606242,1
606245,1
616421,1
727568,1
612278,1
603305,1
603257,1
609844,1
603295,1
603347,1
609934,1
603128,1
582316,1
590172,1
609679,1
594682,1
594770,1
594694,1
