year,sector_id,number_of_jobs,cid
2010,1,7546,11
2010,1,41164,35
2010,1,6499,57
2010,1,12240,49
2010,2,9205,11
2010,2,39098,35
2010,2,5817,57
2010,2,14669,49
2010,3,31349,11
2010,3,111591,35
2010,3,22738,57
2010,3,47473,49
2010,4,10457,11
2010,4,56746,35
2010,4,11586,57
2010,4,20495,49
2010,5,9167,11
2010,5,51983,35
2010,5,12051,57
2010,5,17352,49
2010,6,12864,11
2010,6,79021,35
2010,6,6418,57
2010,6,29577,49
2010,7,37891,11
2010,7,188240,35
2010,7,26147,57
2010,7,59995,49
2010,8,343,11
2010,8,3466,35
2010,8,231,57
2010,8,475,49
2010,9,16193,11
2010,9,72288,35
2010,9,13421,57
2010,9,28459,49
2010,10,7978,11
2010,10,59681,35
2010,10,6050,57
2010,10,9225,49
2010,11,722,11
2010,11,810,35
2010,11,983,57
2010,11,2716,49
2010,12,6090,11
2010,12,30459,35
2010,12,4726,57
2010,12,12017,49
2011,1,7863,11
2011,1,41948,35
2011,1,6554,57
2011,1,12653,49
2011,2,9771,11
2011,2,40591,35
2011,2,6094,57
2011,2,15753,49
2011,3,32276,11
2011,3,114289,35
2011,3,22902,57
2011,3,48911,49
2011,4,10973,11
2011,4,58573,35
2011,4,11834,57
2011,4,21447,49
2011,5,9474,11
2011,5,53132,35
2011,5,12117,57
2011,5,17868,49
2011,6,13526,11
2011,6,81851,35
2011,6,6601,57
2011,6,31062,49
2011,7,39387,11
2011,7,192821,35
2011,7,26600,57
2011,7,62033,49
2011,8,356,11
2011,8,3506,35
2011,8,239,57
2011,8,485,49
2011,9,16770,11
2011,9,73759,35
2011,9,13520,57
2011,9,29428,49
2011,10,8314,11
2011,10,60962,35
2011,10,6143,57
2011,10,9582,49
2011,11,734,11
2011,11,809,35
2011,11,968,57
2011,11,2714,49
2011,12,6356,11
2011,12,31371,35
2011,12,4813,57
2011,12,12492,49
2012,1,8012,11
2012,1,42831,35
2012,1,6613,57
2012,1,13020,49
2012,2,10132,11
2012,2,42192,35
2012,2,6372,57
2012,2,16786,49
2012,3,32493,11
2012,3,117271,35
2012,3,23072,57
2012,3,50169,49
2012,4,11253,11
2012,4,60551,35
2012,4,12084,57
2012,4,22325,49
2012,5,9573,11
2012,5,54412,35
