;TAZID,CO_TAZID,FM_MING,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
141,570141,142,60843,0,0,0,57,WEBER
142,570142,0,60843,0,0,0,57,WEBER
143,570143,0,60843,0,0,0,57,WEBER
144,570144,0,66989,0,0,0,57,WEBER
145,570145,0,66989,0,0,0,57,WEBER
146,570146,0,66989,0,0,0,57,WEBER
147,570147,0,66989,0,0,0,57,WEBER
148,570148,0,82188,0,0,0,57,WEBER
149,570149,0,82191,0,0,0,57,WEBER
150,570150,0,82684,0,0,0,57,WEBER
151,570151,0,82427,921,0,0,57,WEBER
152,570152,0,82684,0,1163,0,57,WEBER
153,570153,0,60843,0,0,0,57,WEBER
154,570154,0,60843,0,0,0,57,WEBER
155,570155,0,60843,0,0,0,57,WEBER
156,570156,0,60843,0,0,0,57,WEBER
157,570157,0,60843,0,0,0,57,WEBER
158,570158,0,56064,768,0,0,57,WEBER
159,570159,0,60183,0,0,1997,57,WEBER
160,570160,0,74507,0,0,0,57,WEBER
161,570161,0,74507,0,0,0,57,WEBER
162,570162,0,74507,0,0,0,57,WEBER
163,570163,0,74507,0,0,0,57,WEBER
164,570164,0,74507,0,0,0,57,WEBER
165,570165,0,74507,0,0,0,57,WEBER
166,570166,0,68646,0,0,0,57,WEBER
167,570167,0,68532,0,0,0,57,WEBER
168,570168,0,68532,0,0,0,57,WEBER
169,570169,0,68532,0,0,0,57,WEBER
170,570170,0,74607,0,0,0,57,WEBER
171,570171,0,74607,0,0,0,57,WEBER
172,570172,0,74607,0,0,0,57,WEBER
173,570173,0,74607,0,0,0,57,WEBER
174,570174,0,80065,0,0,0,57,WEBER
175,570175,70,80065,0,0,0,57,WEBER
176,570176,0,80065,0,0,0,57,WEBER
177,570177,0,74269,0,0,0,57,WEBER
178,570178,0,74269,0,0,0,57,WEBER
179,570179,0,74269,0,0,0,57,WEBER
180,570180,0,82031,0,0,0,57,WEBER
181,570181,0,82031,0,0,0,57,WEBER
182,570182,0,75428,0,0,0,57,WEBER
183,570183,0,89059,583,0,1895,57,WEBER
184,570184,0,75428,0,0,0,57,WEBER
185,570185,0,47778,0,0,0,57,WEBER
186,570186,0,47778,0,0,0,57,WEBER
187,570187,0,85949,753,0,0,57,WEBER
188,570188,0,84050,0,0,0,57,WEBER
189,570189,0,63268,0,681,0,57,WEBER
190,570190,0,68447,0,0,0,57,WEBER
191,570191,0,63759,550,0,0,57,WEBER
192,570192,0,70707,0,0,0,57,WEBER
193,570193,0,62747,0,0,0,57,WEBER
194,570194,0,62747,0,0,0,57,WEBER
195,570195,0,45645,0,0,0,57,WEBER
196,570196,0,63780,1436,1149,0,57,WEBER
197,570197,0,57050,0,0,0,57,WEBER
198,570198,0,57050,0,0,0,57,WEBER
199,570199,0,57050,0,0,0,57,WEBER
200,570200,0,61063,624,0,0,57,WEBER
201,570201,0,58354,0,0,0,57,WEBER
202,570202,0,58354,0,0,0,57,WEBER
203,570203,0,59979,0,0,0,57,WEBER
