parcel_id,GRIDID
671124,27169
588354,27169
664267,26836
632453,28836
632450,28671
632945,28836
689144,28506
654471,28505
587371,28340
568726,28167
650132,28002
587715,27670
619823,28002
568040,28001
568648,28167
655445,27671
619724,28003
618677,27836
700221,27835
618444,28003
623202,28168
650118,28001
650115,28001
587787,28006
568554,28169
629009,29144
567443,29147
585022,28813
584998,28979
584968,29143
584855,29141
584848,29142
745122,27331
670759,27335
728498,27503
665040,27337
711611,26840
745070,27332
685856,27674
588936,27345
648459,27345
588931,27345
589021,27509
624345,27343
635585,27507
635088,27673
616837,27677
657090,26849
589047,27181
712019,27347
694503,27183
694688,27350
731669,27348
631074,26687
711309,26688
668370,26852
641111,28007
668365,26853
634440,26854
667957,26687
632061,26853
632316,27018
632365,26853
667872,26686
668375,26687
626764,25356
701690,25522
587887,28172
701686,25522
677286,25690
626285,25359
676510,25523
677315,25690
676476,25523
723619,25689
676251,25357
591094,25361
654490,25361
658289,25693
731649,26011
731367,26012
670382,28004
587574,28009
690085,12424
690039,12424
661090,29291
584583,28956
623495,29290
687367,28465
748204,28632
652227,26178
715180,25846
714795,26012
667756,25516
722536,25350
687577,28631
748138,28633
664524,25350
717359,25350
722513,25516
649173,25516
684674,25516
684692,25516
684648,25516
589890,25514
708990,25353
675091,25684
616273,25684
655016,25684
708936,25352
630352,25519
698350,25353
657932,26349
699652,25353
686190,26014
696493,32934
723074,32603
676208,25849
590029,26015
747275,31776
736980,31108
736684,32600
751344,31609
748491,31776
721315,31940
743214,31610
722992,32602
722959,32603
748165,28633
639596,32770
668464,32768
668495,32768
696566,32934
743057,30783
640933,30452
582264,30620
742767,30618
582244,30784
743096,30617
741629,30617
582223,30783
693888,26015
676298,25849
662607,24144
695902,23814
672619,24308
726688,24472
738532,24307
726061,24473
566957,33799
618900,33134
647291,33965
669458,33296
676300,25850
689156,34466
642906,34631
641292,34466
655308,34632
580988,34299
728905,34134
700140,30647
586075,30481
623298,30648
642794,31453
693789,31783
711403,31618
711173,31618
628393,29656
628378,29657
618431,29823
746344,29988
623285,29822
681639,29988
682191,29489
682184,29323
604292,15262
664962,15095
712423,15095
604007,15424
751230,15259
605464,14760
605454,14263
605653,14433
682134,7580
636961,30789
582338,30952
648276,30954
675485,30289
566508,30293
656210,30457
639888,30129
566412,30126
566413,30126
732405,30124
582322,30124
566489,30293
566693,30294
566795,30129
566778,30295
631357,29631
631748,29461
625796,29468
583942,29304
565951,29795
565928,29794
565863,29795
565911,29796
566016,29795
718442,29794
566010,29795
565975,29796
565971,29796
565799,29630
621509,29797
565918,29794
566065,29794
631844,29294
716304,31124
581986,30955
582022,31121
582014,31121
634313,30956
720100,30956
581762,31289
634321,30956
716320,31124
723937,30629
694792,30629
582715,30629
582873,30298
582936,30298
582857,30464
701806,30298
634408,30963
636735,30630
685044,30629
636734,30630
718445,30962
717969,31295
632053,31125
711491,31626
711956,31459
629437,29482
585444,29151
581804,31293
713602,31127
713808,31128
712334,31460
711353,31461
714682,31294
713817,31128
621953,29153
630019,29485
641848,29318
583400,29482
586427,29486
619074,29484
720795,29151
720797,29151
583467,29316
685598,26015
684803,25685
676396,25685
678461,26186
678597,26186
710706,26188
713070,26351
651164,26351
684870,26515
742945,28987
585095,28984
599965,17241
654036,29152
660859,30134
583851,29969
687191,29970
715688,29806
672678,28986
660847,30134
661046,30134
673419,30299
660868,30134
686808,29971
686863,29971
686745,29804
657765,29639
657200,30806
657193,30806
686710,29639
687089,17411
609956,9068
599994,17244
748430,30469
672306,30470
671527,30304
567749,29478
567461,29312
567458,29312
567906,29477
568054,29643
727505,29475
632736,29308
584208,29966
583701,29475
632971,29142
583628,29308
567662,29310
618323,29803
725028,30636
724904,30636
670930,30797
748449,30469
748452,30469
748450,30469
689995,30304
689500,30138
689512,30138
651179,30305
624982,27659
708000,30138
616300,30139
628996,29145
567360,29145
567549,29146
627601,29143
745224,28981
697778,28814
628994,29145
585320,28983
585505,28654
584453,28984
683347,26349
588102,27825
695144,27338
694848,27337
694422,27511
691847,27675
651760,27342
651851,27342
651848,27343
651764,27342
616840,27677
693186,27506
635083,27673
589076,27347
710905,27014
669113,27180
663621,27680
694226,27183
694233,27183
711304,26687
633590,26854
632987,27019
632949,26853
693320,26350
667763,26852
680721,25523
591055,25523
708855,25689
677300,25690
615096,25357
701683,25357
626260,25358
693300,26184
676515,25357
721576,25691
676728,25361
641538,25360
684930,25527
731639,26011
731656,26011
731761,26012
714791,26012
730834,26011
716490,26012
622695,26177
590510,25348
654940,25682
676100,25682
656497,25681
722003,25350
722570,25516
684646,25516
722539,25516
657101,25680
708902,25519
655397,25518
656506,25518
656407,25518
630279,25519
685692,26014
687123,26017
590317,26180
707974,26016
622045,25849
653805,25851
686578,25851
641945,26518
655299,26518
678781,26352
590153,26185
679395,26183
692539,26184
713306,26350
681438,26350
590066,26514
590058,26515
589972,25854
640415,25859
742318,26022
689409,26023
689414,26023
640436,25859
742330,26188
651253,26188
656551,26519
656322,26520
655512,26189
685956,26355
677796,26357
656223,26522
630742,26357
635577,26524
741432,25532
635638,25532
635632,25532
629233,25366
589921,25862
628906,25183
673803,25183
621666,25183
629455,25184
734909,24850
620243,24853
590582,25183
615451,25019
629104,25187
629165,25187
688264,25186
667817,25186
677547,24854
620163,24853
688688,25020
620160,24853
590146,24854
669424,28485
695751,28817
568809,28334
568790,28333
569392,28666
569299,28665
569302,28665
569301,28665
569287,28665
569405,28666
569157,28666
568593,28336
711652,28503
683310,28503
587725,28336
735160,28337
628612,28838
587342,28838
631580,28505
632942,28670
655736,28505
587374,28506
587412,28506
650131,28002
691905,28168
568683,28168
619726,28003
568435,28003
568432,28001
720610,27838
673612,27839
670367,28004
692331,28005
616781,27676
719077,28010
620048,28009
620467,27844
648495,28989
648493,29155
689955,28990
720210,28988
682380,28822
716188,28993
676375,28993
724388,28992
665401,26184
713308,26350
701881,26514
669527,26514
622644,28660
622639,28660
622634,28660
724402,28992
744795,28493
624253,27991
623939,27992
623968,27826
746088,28491
746116,28491
705973,28325
653186,28491
705968,28325
698009,28491
746171,28491
742597,28493
742555,28493
742384,28493
625561,28157
743047,28493
743876,28493
744675,28493
744654,28493
744821,28494
722185,28495
725878,28162
725596,28162
725778,28162
587606,27997
652951,27996
726889,28162
652731,27830
726824,28163
652771,27996
586855,28496
693372,27833
568537,28332
627404,28000
627401,28000
588038,27834
694992,27339
652781,27172
695389,27172
688315,24524
731051,24856
629984,25533
642798,25190
676751,25024
719819,24527
591579,24692
678992,24528
723560,24527
719870,24527
623283,25029
673396,25195
736180,25195
626563,25031
701629,25029
582167,31283
650816,31117
581840,31119
692032,25032
642576,25198
692047,25031
693232,24866
691982,24866
636057,24865
626456,24531
591595,24529
670464,24696
626464,24531
690138,24696
593933,22707
628260,24864
616019,24698
744568,24032
591762,24031
707903,24199
707947,24033
670145,24033
670119,24363
591339,24367
702242,24034
702240,24034
642289,24034
694557,24034
629708,24035
703416,24034
629948,23868
726855,23867
593198,23533
628681,23865
687678,28630
725166,23868
638086,23866
593256,23866
724861,23701
709881,23525
704533,23028
678481,23360
693202,23195
592569,23359
701085,23197
666957,23030
744467,22700
594547,22866
675171,23030
701538,23363
675173,23363
649644,23032
701095,23363
592880,23364
696946,22863
673510,28962
660468,22699
672888,22698
672379,22863
672383,22863
647247,22865
729482,22700
656431,22865
594548,22865
669844,22533
594597,22534
729648,22367
673607,22201
720081,22365
594378,22364
669597,22367
692191,22369
638260,22370
692147,22203
700601,22037
595037,22204
620944,22371
654508,22204
703053,22371
593176,22204
594262,22372
689916,22205
594024,22371
593167,22371
676853,22371
724014,22537
594288,22372
658908,23206
729705,23370
734478,23536
735559,22707
629935,23204
593448,23371
727419,22705
594097,22704
727443,22705
616851,22705
734826,22705
594327,22539
594197,22871
703266,22539
594336,22373
593878,22872
593957,22378
675932,22877
675896,22877
675946,22876
693675,23041
721520,22378
615708,23374
693667,23042
624337,22708
717677,23871
724205,24036
702177,23539
702157,23705
629129,23706
676400,23708
626194,23543
596022,23541
700382,23712
707330,23544
723449,23544
742349,26021
589951,25689
700350,23711
708781,24208
595885,24704
632774,24537
632772,24537
708759,24375
714312,24375
704266,24045
700635,24376
621256,24372
718925,24372
718870,24372
708461,24375
638138,24373
595621,24374
707051,23878
663869,23048
664019,23048
700430,23546
700422,23546
596417,22880
663821,22881
719662,22380
678212,22214
678457,22215
692454,22048
686502,22547
596275,22546
692809,22380
702677,22380
719626,22549
655212,22549
627543,22714
719645,22717
627564,22715
650332,22549
597792,20537
664072,22882
718859,22883
596254,22883
710267,22549
664045,22716
595582,21881
731255,21714
674871,21714
731297,21714
648873,20372
677965,19553
670722,19222
670457,19223
675721,19553
675715,19554
670509,19222
678023,19387
713378,19220
723510,19389
569322,20216
569728,20216
570121,20549
570330,20384
698389,20553
570643,20716
569555,20220
570813,20718
599008,20390
599158,20390
